PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
101,2,1,150,3,39.0,1,0.0,0.0,0.0,0.0,0.0,0
201,1,1,2185,3,24.0,1,109.0,9.0,25.0,549.0,44.0,1
301,2,1,2,3,58.0,2,43.0,3576.0,0.0,6715.0,49.0,0
302,2,1,2,3,33.0,1,0.0,1283.0,371.0,3329.0,193.0,0
401,1,1,2187,3,16.0,1,303.0,70.0,151.0,565.0,2.0,1
501,1,1,2184,2,44.0,1,0.0,483.0,0.0,291.0,0.0,1
601,1,1,3426,3,26.0,1,42.0,1539.0,3.0,0.0,0.0,1
602,1,2,4560,3,28.0,1,0.0,0.0,0.0,0.0,0.0,1
701,1,1,3566,3,35.0,1,0.0,785.0,17.0,216.0,0.0,1
801,2,2,151,1,14.0,1,0.0,0.0,0.0,0.0,0.0,1
802,2,2,151,3,34.0,1,0.0,0.0,0.0,0.0,0.0,1
803,2,1,151,1,45.0,1,39.0,7295.0,589.0,110.0,124.0,1
901,3,1,2186,3,32.0,1,73.0,0.0,1123.0,0.0,113.0,1
1001,1,1,4562,3,48.0,1,719.0,1.0,65.0,0.0,24.0,0
1101,1,1,3425,3,28.0,1,8.0,974.0,12.0,2.0,7.0,1
1201,1,1,0,3,31.0,1,32.0,0.0,876.0,0.0,0.0,0
1401,3,1,3565,1,27.0,1,1286.0,122.0,0.0,0.0,0.0,0
1501,1,1,3697,1,24.0,1,0.0,1.0,0.0,0.0,637.0,0
1601,3,2,3845,3,45.0,1,0.0,0.0,0.0,0.0,0.0,1
1701,1,1,4559,3,0.0,1,0.0,0.0,0.0,0.0,0.0,1
1702,1,1,3989,1,14.0,1,412.0,0.0,1.0,0.0,679.0,0
2001,1,2,1408,3,1.0,1,0.0,0.0,0.0,0.0,0.0,0
2002,1,2,1408,1,49.0,1,0.0,0.0,0.0,0.0,0.0,0
2003,1,2,1408,1,29.0,1,0.0,0.0,0.0,0.0,0.0,0
2004,1,1,1408,3,10.0,1,0.0,0.0,0.0,0.0,0.0,1
2005,1,2,1408,2,1.0,1,0.0,0.0,0.0,0.0,0.0,0
2006,1,1,1408,3,7.0,1,0.0,0.0,0.0,0.0,0.0,0
2201,3,1,1035,3,21.0,1,980.0,2.0,69.0,0.0,0.0,0
2401,2,2,751,3,62.0,1,0.0,0.0,0.0,0.0,0.0,1
2501,1,1,3990,3,15.0,1,0.0,225.0,0.0,998.0,0.0,0
2601,2,1,599,1,34.0,1,22.0,6073.0,0.0,1438.0,328.0,0
2801,3,1,4269,3,43.0,1,1125.0,0.0,136.0,48.0,0.0,0
3001,1,1,5661,3,32.0,1,0.0,850.0,81.0,437.0,453.0,0
3101,3,1,4407,3,47.0,1,214.0,0.0,1411.0,0.0,1229.0,1
3102,3,1,4407,3,2.0,1,0.0,0.0,0.0,0.0,0.0,1
3103,3,1,4407,3,20.0,1,0.0,0.0,1750.0,990.0,0.0,1
3401,2,2,1037,1,28.0,1,0.0,0.0,0.0,0.0,0.0,1
3501,3,1,1036,1,23.0,1,784.0,964.0,0.0,951.0,0.0,0
3601,1,1,4270,1,15.0,0,0.0,492.0,48.0,20.0,401.0,0
